g,q,v
7.000000000000000000e+00,3.453589087979738181e+00,1.931492969364447809e-01
7.000000000000000000e+00,2.194105285788606530e+00,1.174356145641790583e-01
7.000000000000000000e+00,2.672582389599397423e+00,7.624381897105148020e-02
7.000000000000000000e+00,3.271059015507098877e+00,4.131742931944623054e-01
7.000000000000000000e+00,1.174359898626485821e+00,9.962373555664039149e-02
7.000000000000000000e+00,1.436348299275697737e+00,1.542039963063134289e-01
8.000000000000000000e+00,4.591921593515813527e+00,2.107652569394176112e-01
8.000000000000000000e+00,2.144283891442865908e+00,5.685895104865562599e-01
8.000000000000000000e+00,1.520030393637020749e+00,6.778117794061006007e-01
8.000000000000000000e+00,3.584470206108078649e+00,2.286642782103146532e-01
8.000000000000000000e+00,1.739601953708466153e+00,9.325761826989716896e-01
8.000000000000000000e+00,4.174133304500918129e+00,2.494608265842024331e-01
8.000000000000000000e+00,4.645331239455821937e+00,1.845850341728576538e-01
8.000000000000000000e+00,4.371093658354774369e-01,5.244629170031827048e-01
8.000000000000000000e+00,5.358218978131690236e-01,4.252223557449608116e-02
8.000000000000000000e+00,1.572597787276215797e+00,1.205500387649747207e-01
9.000000000000000000e+00,2.300481873990448012e+00,7.848443344077193906e-03
9.000000000000000000e+00,5.587985816685597795e-01,1.890473484157042527e-01
9.000000000000000000e+00,3.736776234120701812e+00,1.569545492002214493e-01
9.000000000000000000e+00,3.924218718949635143e+00,4.746119399799814120e-01
9.000000000000000000e+00,3.617318815729424486e+00,6.838216838841559841e-03
9.000000000000000000e+00,4.505610846154315396e+00,1.167122139043835771e-01
9.000000000000000000e+00,4.598409227650604336e+00,8.020629899220935721e-01
9.000000000000000000e+00,2.561008337702981752e+00,1.553772193372198185e-01
9.000000000000000000e+00,3.046522913786339437e+00,6.040698715567051069e-01
9.000000000000000000e+00,2.086510722346375246e+00,3.237314075227528676e-01
1.000000000000000000e+01,3.536639111392631651e+00,2.308310176514498657e-01
1.000000000000000000e+01,4.040831956254707258e+00,8.800920889561558713e-02
1.000000000000000000e+01,3.446002873872233696e+00,6.238203596641065385e-01
1.000000000000000000e+01,2.347362723135754337e+00,7.491557186195184626e-01
1.000000000000000000e+01,2.521938792899192538e+00,8.545194949426433428e-01
1.000000000000000000e+01,2.040011984063637485e+00,6.683097339707259055e-01
1.000000000000000000e+01,4.249714065124074125e+00,6.269490249141569382e-01
1.000000000000000000e+01,2.041640617307701078e+00,8.100145651785138901e-01
1.000000000000000000e+01,2.633489299043692444e+00,9.102726947886962128e-01
1.000000000000000000e+01,1.106129413754013413e+00,3.807561100886996952e-01
1.100000000000000000e+01,3.997658876616801304e+00,3.821390252881520233e-01
1.100000000000000000e+01,1.068226103921056103e+00,6.431934043870787265e-01
1.100000000000000000e+01,4.654966234096978184e+00,7.521268957752736961e-01
1.100000000000000000e+01,3.612840724339748011e+00,5.716307637336773828e-01
1.100000000000000000e+01,1.735077363129531314e+00,5.120670093269819034e-02
1.100000000000000000e+01,2.439935534401189265e+00,4.882370604277456172e-01
1.100000000000000000e+01,3.875090112749028037e+00,2.397874295709014891e-01
1.100000000000000000e+01,2.577130188951468615e+00,5.324849235557205240e-03
1.100000000000000000e+01,2.794729813924703432e+00,8.707344956087820220e-01
1.100000000000000000e+01,4.724611588163182496e+00,2.902655001778355892e-01
1.200000000000000000e+01,2.152944799816003396e+00,6.235898403068497187e-01
1.200000000000000000e+01,1.650316877224924372e+00,8.640182788082982901e-01
1.200000000000000000e+01,4.346533952089963293e+00,4.690201612125857178e-01
1.200000000000000000e+01,4.732408111408325624e+00,7.766609297711738469e-01
1.200000000000000000e+01,3.265895461272982914e-01,4.949886658266311468e-02
1.200000000000000000e+01,4.733633073380683065e+00,8.872119181440824009e-01
1.200000000000000000e+01,4.357645073539214486e+00,3.662505127505771840e-01
1.200000000000000000e+01,3.209203449477837644e-01,7.032014687823975319e-01
1.200000000000000000e+01,2.424799587526794475e+00,2.111005517811814780e-01
1.200000000000000000e+01,2.049237571129244984e+00,2.783722188213266779e-02
1.300000000000000000e+01,4.535314078819570938e+00,8.364606749328005186e-01
1.300000000000000000e+01,3.701109745512452420e+00,3.648811599786350168e-01
1.300000000000000000e+01,2.909277887482362601e+00,2.725998239746248997e-01
1.300000000000000000e+01,3.283335610859817955e+00,7.170032692640156968e-01
1.300000000000000000e+01,1.126387814471565552e+00,3.486799540851484025e-01
1.300000000000000000e+01,3.437683284109255055e+00,8.553001627397285311e-01
1.300000000000000000e+01,4.273483002420016774e+00,3.107866490585297070e-01
1.300000000000000000e+01,1.224301902956310251e+00,7.386326842373300838e-01
1.300000000000000000e+01,2.231788410829394387e+00,8.974060025618310066e-01
1.300000000000000000e+01,1.595998558240607323e+00,1.612175905674929632e-01
1.400000000000000000e+01,4.052521377299687089e+00,2.503704120620353635e-01
1.400000000000000000e+01,1.224881513533626620e+00,8.089071429953232917e-01
1.400000000000000000e+01,5.770580753713117073e-01,8.745730124775400460e-01
1.400000000000000000e+01,3.537438685990118792e+00,5.770052535457588228e-01
1.400000000000000000e+01,4.486199812119816777e+00,5.677551725437689489e-01
1.400000000000000000e+01,1.468278114902002995e+00,9.675560519629741174e-01
1.400000000000000000e+01,4.797825914288940119e+00,5.218710006016702430e-03
1.400000000000000000e+01,1.631668495142075681e+00,1.881147318434456261e-01
1.400000000000000000e+01,2.917564541762995844e+00,9.514193763906317880e-01
1.400000000000000000e+01,2.684719469931212465e+00,4.379697384414463768e-01
1.500000000000000000e+01,2.899001590663079053e+00,6.872344986832068514e-01
1.500000000000000000e+01,4.646584878476671676e+00,5.649739109315391472e-01
1.500000000000000000e+01,3.055507508290616236e+00,8.197224624501927570e-01
1.500000000000000000e+01,4.966193741219670166e+00,4.542519545982689477e-01
1.500000000000000000e+01,2.031890746798054037e-01,2.800767235391278254e-01
1.500000000000000000e+01,3.065378713084460749e+00,7.507460373115815155e-01
1.500000000000000000e+01,2.468821501296008414e+00,5.860908535546113240e-01
1.500000000000000000e+01,3.788747588542140665e-02,2.320827886895593384e-01
1.500000000000000000e+01,1.954433385595399475e+00,1.652510586626171341e-01
1.500000000000000000e+01,4.787010885239125990e+00,8.259663263351828544e-01
1.600000000000000000e+01,4.944187598593185129e+00,4.067566806213225306e-01
1.600000000000000000e+01,1.782009000424609635e+00,3.468966858733066871e-01
1.600000000000000000e+01,2.555703201771371003e+00,5.128773623329784259e-01
1.600000000000000000e+01,7.479073087735027547e-01,2.894364779873758176e-01
1.600000000000000000e+01,4.786807811543293489e+00,5.876945623777763972e-01
1.600000000000000000e+01,1.650523865254452938e+00,4.329630369902436327e-01
1.600000000000000000e+01,2.832756639544445232e+00,1.121562293062642324e-01
1.600000000000000000e+01,4.652509598593334239e+00,2.125651174896145967e-01
1.600000000000000000e+01,3.853089287336028956e+00,8.952023107725001205e-01
1.600000000000000000e+01,8.728913485336703415e-01,8.675953880350096847e-01
1.700000000000000000e+01,9.359167388674033417e-01,4.700746458903531932e-01
1.700000000000000000e+01,3.639965852004248159e+00,8.726775753605300334e-01
1.700000000000000000e+01,9.093502828427191265e-02,2.925482512196625473e-01
1.700000000000000000e+01,1.713884287089548319e+00,2.668969485480060522e-01
1.700000000000000000e+01,3.564562179142716225e+00,1.962711369940330908e-01
1.700000000000000000e+01,2.631343662021198071e+00,4.873495918033372565e-01
1.700000000000000000e+01,2.871279571129512931e+00,3.105237465086365667e-01
1.700000000000000000e+01,4.238674117698208121e+00,9.129352523593023960e-01
1.700000000000000000e+01,2.681412357397713997e+00,9.100906753840179997e-01
1.700000000000000000e+01,3.205304092102357671e+00,5.063726378163320163e-01
1.800000000000000000e+01,4.105143045441963068e+00,9.802124495894614098e-01
1.800000000000000000e+01,1.726820458691260995e+00,4.687744990041556870e-01
1.800000000000000000e+01,1.254037855738272977e+00,3.491530499561006362e-01
1.800000000000000000e+01,3.812655205879869946e+00,8.126047694370601704e-01
1.800000000000000000e+01,2.325932629788218353e+00,7.417767025534429681e-01
1.800000000000000000e+01,3.817106238790040962e+00,8.931002159024894471e-01
1.800000000000000000e+01,2.826074902606602102e+00,3.994163311228193791e-01
1.800000000000000000e+01,2.598721867196749802e+00,7.178547282421789966e-01
1.800000000000000000e+01,3.261795285043725734e+00,7.609153141992152092e-01
1.800000000000000000e+01,3.451039844855150474e+00,8.909971781634817845e-02
1.900000000000000000e+01,2.727975755665861257e+00,5.968623509607928757e-01
1.900000000000000000e+01,4.068044546207676859e+00,7.114148045620393157e-01
1.900000000000000000e+01,4.061085875197069761e+00,4.722103929690000257e-01
1.900000000000000000e+01,4.981049267550774484e-01,3.209201970551300853e-02
1.900000000000000000e+01,9.479754802319384499e-02,1.157118101918797048e-01
1.900000000000000000e+01,4.855126805287129699e+00,6.557879158031717504e-01
1.900000000000000000e+01,8.966959060625606659e-01,1.925161865819914331e-01
1.900000000000000000e+01,7.227332860319579666e-01,2.169476072073828199e-02
1.900000000000000000e+01,2.546140513944306072e-03,4.550111503057924223e-01
1.900000000000000000e+01,9.021381025618568916e-01,5.155288767650220150e-01
2.000000000000000000e+01,4.160701114142980828e+00,9.859379568609798472e-01
2.000000000000000000e+01,3.906849059188460593e+00,8.244293471123231853e-01
2.000000000000000000e+01,4.823560745341482381e+00,1.872137843572564408e-01
2.000000000000000000e+01,2.778813069282790593e+00,5.590304535383207041e-01
2.000000000000000000e+01,3.031705860930272722e-01,4.518199892253706995e-01
2.000000000000000000e+01,2.971181297969115676e+00,4.044535367847114093e-01
2.000000000000000000e+01,3.907171171155044309e+00,4.420457370291640542e-01
2.000000000000000000e+01,3.549510474418813732e+00,1.679765584036441162e-01
2.000000000000000000e+01,3.246063592141802623e+00,9.438768538410110542e-01
2.000000000000000000e+01,3.932503752951453713e+00,2.749084223986254516e-01
2.100000000000000000e+01,3.341370109105781250e+00,1.561706930683391947e-01
2.100000000000000000e+01,3.025254108861688440e+00,6.886630597287713984e-01
2.100000000000000000e+01,3.661701681583105383e+00,5.257795732480889939e-01
2.100000000000000000e+01,2.285240285340171873e+00,6.317423413667425658e-01
2.100000000000000000e+01,4.699320321745268814e+00,1.791588123959744205e-01
2.100000000000000000e+01,1.296628561977103411e+00,7.980576909170087330e-01
2.100000000000000000e+01,3.768046366829835847e-01,8.991016108125921003e-01
2.100000000000000000e+01,2.781997224092312315e+00,2.578363642386690691e-01
2.100000000000000000e+01,4.871981247949960903e+00,5.599987647153866765e-01
2.100000000000000000e+01,3.516921704760984646e+00,3.125647608226517216e-01
2.200000000000000000e+01,3.084490872031339315e+00,1.052314540662857567e-02
2.200000000000000000e+01,3.195655009768454402e+00,8.761803837310322418e-02
2.200000000000000000e+01,3.813199288150435962e+00,7.492177678889888615e-02
2.200000000000000000e+01,4.016583918783844354e+00,8.948866604416109150e-01
2.200000000000000000e+01,1.320818863742532656e+00,3.974789576074355679e-01
2.200000000000000000e+01,1.381318629317093150e+00,6.486592395804221534e-01
2.200000000000000000e+01,3.702370326016559243e+00,7.080503160385352990e-01
2.200000000000000000e+01,2.105010481999709526e+00,1.311374616123842651e-01
2.200000000000000000e+01,1.162358136857535751e+00,4.686785486364207776e-01
2.200000000000000000e+01,4.771267866198937391e+00,2.873953298141878054e-01
2.300000000000000000e+01,3.096405226310150027e+00,9.057037005591653811e-01
2.300000000000000000e+01,3.936505738735510462e+00,6.683998728479497720e-01
2.300000000000000000e+01,2.503986080158024485e+00,5.169957751561403692e-01
2.300000000000000000e+01,3.880584034443877783e+00,5.238341976153506607e-01
2.300000000000000000e+01,2.038784741183878424e+00,6.030110439001979961e-01
2.300000000000000000e+01,3.935253351908503117e+00,9.853532049164487328e-01
2.300000000000000000e+01,3.046593495303436150e+00,3.715923783560456384e-01
2.300000000000000000e+01,5.321637482336361025e-01,7.196807594726051249e-02
2.300000000000000000e+01,4.103290583911215705e+00,2.112129425456092946e-01
2.300000000000000000e+01,1.610596398604835944e+00,8.849763798891574496e-04
2.400000000000000000e+01,3.896992804583419012e+00,6.714586846197412306e-03
2.400000000000000000e+01,5.342892094763368460e-01,9.965754531853809883e-02
2.400000000000000000e+01,4.978784065816198812e+00,3.194032825429697908e-01
2.400000000000000000e+01,4.192443393539441177e-01,5.460651757440603271e-01
2.400000000000000000e+01,4.116817914777031184e+00,1.785904463230206796e-01
2.400000000000000000e+01,1.239207172711196847e+00,5.670287266020160866e-01
2.400000000000000000e+01,2.336404274850193197e+00,5.872463217327330565e-01
2.400000000000000000e+01,3.987499659446343436e+00,4.298518833585066590e-01
2.400000000000000000e+01,2.420072467468952659e+00,5.505796714902362332e-01
2.400000000000000000e+01,1.947757289951085324e+00,1.308493102264872698e-01
2.500000000000000000e+01,2.272738680083480567e+00,7.167227422359645495e-03
2.500000000000000000e+01,1.910778582329473174e+00,9.588845334061459891e-01
2.500000000000000000e+01,2.503678520966529764e+00,5.285734500253225221e-01
2.500000000000000000e+01,1.648980173510486313e+00,2.065157376631970854e-01
2.500000000000000000e+01,2.893929134481911802e+00,8.092300699996102242e-02
2.500000000000000000e+01,2.639707370436087608e+00,3.029137516800671781e-01
2.500000000000000000e+01,4.869477653787200211e+00,6.347750124899220747e-02
2.500000000000000000e+01,4.563223352541110778e+00,7.492750793110674046e-01
2.500000000000000000e+01,1.920060516127948702e+00,3.800027923920220596e-01
2.500000000000000000e+01,3.484912945363325854e+00,8.595347850925273425e-01
2.600000000000000000e+01,4.719543234515252372e+00,7.070882372314355457e-01
2.600000000000000000e+01,4.723820566172546975e+00,3.342787726059158748e-01
2.600000000000000000e+01,8.074156843617508184e-01,6.517375887944744095e-01
2.600000000000000000e+01,3.743042662738137238e+00,1.346178210281034904e-01
2.600000000000000000e+01,1.524173584418098581e+00,6.151055642533087564e-02
2.600000000000000000e+01,9.673632267214582470e-01,8.856397612348488879e-01
2.600000000000000000e+01,7.540971173940053118e-01,2.276507699683617547e-01
2.600000000000000000e+01,3.287113619815363208e+00,1.270596243171236983e-01
2.600000000000000000e+01,3.983939324801227144e+00,8.430114048965261508e-01
2.600000000000000000e+01,3.480796868819682199e+00,9.524569194435689168e-01
2.700000000000000000e+01,3.437855460674532626e+00,4.257344131287325029e-01
2.700000000000000000e+01,2.779005721436914378e+00,1.417925736074715504e-01
2.700000000000000000e+01,6.919554227813340397e-01,3.486683623089081863e-02
2.700000000000000000e+01,9.748438146168436624e-01,5.296066429691010935e-01
2.700000000000000000e+01,2.979226912137948435e+00,6.564707480624274449e-01
2.700000000000000000e+01,3.619604897261079923e+00,3.096216287184798688e-01
2.700000000000000000e+01,4.778672763870322804e+00,7.933191838091097070e-01
2.700000000000000000e+01,5.030277545140771078e-01,6.413004224273862741e-01
2.700000000000000000e+01,3.399290928349572916e+00,5.483359499232866030e-01
2.700000000000000000e+01,1.079271657677067786e+00,5.565722545514928399e-02
2.800000000000000000e+01,2.968420702631858088e+00,8.289566537685266745e-02
2.800000000000000000e+01,2.957368189214366616e+00,6.149257678644953762e-01
2.800000000000000000e+01,3.425906431896741378e-01,5.933297236852029810e-01
2.800000000000000000e+01,4.823720086202486712e+00,5.313726063706152303e-01
2.800000000000000000e+01,3.646641458866218599e+00,8.775297851244370229e-01
2.800000000000000000e+01,2.493130173948344019e+00,7.167503831941032244e-01
2.800000000000000000e+01,3.681499283473828044e+00,9.522737764347636302e-01
2.800000000000000000e+01,2.211035821107439681e+00,1.432742144977635634e-01
2.800000000000000000e+01,4.192338746430187335e+00,1.249022423722225827e-01
2.800000000000000000e+01,1.946681289798806169e+00,2.722087431629108822e-01
2.900000000000000000e+01,1.324655109174112777e+00,6.680009848429189212e-01
2.900000000000000000e+01,3.476133334014601672e+00,4.358450163335869654e-01
2.900000000000000000e+01,1.855606585835025690e+00,1.027374404006808906e-02
2.900000000000000000e+01,4.444824453411382770e+00,9.812535950173305599e-01
2.900000000000000000e+01,3.136632001762666544e+00,4.196207533568687698e-01
2.900000000000000000e+01,1.614462986764311658e+00,1.118794340278301824e-01
2.900000000000000000e+01,4.716269896001811901e+00,7.649497094344543946e-01
2.900000000000000000e+01,2.130413750712917498e+00,6.608472314194613340e-01
2.900000000000000000e+01,4.174291948990649370e-01,7.851860651277017267e-01
2.900000000000000000e+01,1.143292162948728041e+00,8.335561702757138258e-01
3.000000000000000000e+01,2.677848895020054520e+00,7.987113619266336118e-01
3.000000000000000000e+01,2.488955187259582313e+00,3.005974994298280523e-01
3.000000000000000000e+01,4.621835096062676396e-01,3.640771053730990081e-01
3.000000000000000000e+01,2.098989181660248171e+00,9.173503998861251008e-01
3.000000000000000000e+01,1.458808770937551902e+00,5.444401850082137839e-01
3.000000000000000000e+01,3.027228683954811039e+00,7.709885660718185374e-02
3.000000000000000000e+01,7.588534111643147062e-01,6.386208332879597105e-01
3.000000000000000000e+01,1.394243151559773075e+00,4.835561879319137946e-01
3.000000000000000000e+01,2.243202813365785975e+00,7.452745003757222930e-01
3.000000000000000000e+01,3.276555446038662112e+00,5.820514190476899774e-01
3.100000000000000000e+01,4.676756192291996683e+00,3.097919568015962133e-01
3.100000000000000000e+01,4.671171453209737479e+00,2.967566848642474442e-01
3.100000000000000000e+01,4.236573879805258791e+00,4.962620378433891810e-01
3.100000000000000000e+01,3.826651655785838102e+00,8.506591633474517300e-01
3.100000000000000000e+01,2.653342602942328377e+00,9.325375634246798606e-01
3.100000000000000000e+01,3.592497953964008062e+00,1.997601345010614482e-01
3.100000000000000000e+01,2.333327456054688831e+00,6.818863001895102416e-01
3.100000000000000000e+01,3.478359083533377305e+00,5.491043282379303170e-01
3.100000000000000000e+01,2.707662052362449501e+00,2.524086910989322696e-01
3.100000000000000000e+01,3.584715860189024994e-01,8.358569342525244972e-01
3.200000000000000000e+01,2.363699998855650630e-01,9.648336550951318591e-01
3.200000000000000000e+01,2.132087336765274621e+00,9.936020465155088743e-01
3.200000000000000000e+01,2.676689788440356210e-01,5.000285956656022046e-01
3.200000000000000000e+01,2.639744325461806262e+00,2.209877525075384375e-01
3.200000000000000000e+01,9.950060397110682686e-01,3.015946531636435335e-01
3.200000000000000000e+01,2.236343814636712501e+00,2.388718346041031060e-01
3.200000000000000000e+01,3.634210320189505961e+00,3.022505351277173791e-01
3.200000000000000000e+01,2.017568597269137065e-01,3.989890152490953579e-01
3.200000000000000000e+01,2.642499963381637063e+00,5.728019026915129874e-01
3.200000000000000000e+01,2.546499462691619975e+00,1.220285747110895214e-01
3.300000000000000000e+01,4.941579716680194467e-01,5.805014754526850451e-01
3.300000000000000000e+01,1.027082747833147458e+00,6.193771178975278069e-01
3.300000000000000000e+01,3.756181928644823920e+00,7.423374397737384500e-01
3.300000000000000000e+01,2.741219300365366207e-01,8.292500358206270628e-01
3.300000000000000000e+01,4.139357134891398005e+00,6.714924678964676596e-01
3.300000000000000000e+01,5.040753481636306432e-01,2.517202819530531821e-01
3.300000000000000000e+01,3.465993555514255586e+00,5.708416179047737238e-01
3.300000000000000000e+01,3.140804747617826909e+00,6.235189619604458722e-01
3.300000000000000000e+01,1.721002978209045242e+00,5.448718003248746999e-01
3.300000000000000000e+01,4.650856458449446507e+00,6.096045136567754819e-01
3.400000000000000000e+01,3.487034957081214248e+00,2.421776505090302845e-01
3.400000000000000000e+01,1.937662826076822054e+00,4.042757273989899813e-01
3.400000000000000000e+01,4.196451163799998163e+00,6.840096466673739606e-01
3.400000000000000000e+01,6.253481060353061061e-01,8.109165407186426089e-01
3.400000000000000000e+01,9.698211141370738364e-01,4.475114986385523297e-01
3.400000000000000000e+01,4.684356884349559103e+00,8.177126383417416822e-01
3.400000000000000000e+01,4.145013201140990589e+00,2.260178201065784487e-01
3.400000000000000000e+01,3.886612211464776756e+00,7.839705929657684313e-01
3.400000000000000000e+01,8.484065193598100407e-01,1.904592470407761029e-01
3.400000000000000000e+01,3.075017253437275944e+00,7.143152808977795143e-01
3.500000000000000000e+01,2.862287025995792877e+00,9.287362596096594425e-01
3.500000000000000000e+01,1.589119606901264747e+00,6.956765574070512548e-01
3.500000000000000000e+01,3.311948938771192008e+00,6.956214027350398066e-01
3.500000000000000000e+01,2.035777166436589791e+00,9.644738114084042691e-01
3.500000000000000000e+01,3.150853027715303956e+00,1.463780519658398616e-01
3.500000000000000000e+01,3.300884502478016902e+00,8.660516976542090850e-01
3.500000000000000000e+01,9.468717799754966524e-01,1.331893182573095080e-01
3.500000000000000000e+01,3.908918806151904679e+00,1.817884161327822934e-01
3.500000000000000000e+01,2.561524567383237638e+00,6.663682904232007820e-01
3.500000000000000000e+01,1.146470011162206148e+00,2.537600447478172150e-02
3.600000000000000000e+01,2.568828811834460435e+00,3.419130251166694334e-01
3.600000000000000000e+01,4.046960096423370068e+00,6.656824133264823695e-01
3.600000000000000000e+01,1.411578687686287470e+00,3.999177437715214500e-01
3.600000000000000000e+01,3.748592751291685010e-01,9.559851495557120105e-01
3.600000000000000000e+01,3.313473557546858794e-01,9.513140424564829889e-01
3.600000000000000000e+01,2.818581877701215044e-01,4.044102164790291942e-01
3.600000000000000000e+01,1.424801179629668901e+00,4.969873025998482463e-01
3.600000000000000000e+01,1.848708125628820031e+00,7.082852592723544172e-01
3.600000000000000000e+01,2.290848689971560326e+00,5.893820751098056698e-01
3.600000000000000000e+01,4.093914042863747937e+00,4.059676686326791906e-01
3.700000000000000000e+01,4.759559643832889098e-01,1.866138177172949053e-02
3.700000000000000000e+01,3.175500799610825986e+00,3.178075939559655838e-01
3.700000000000000000e+01,1.745198126199907218e+00,8.272384825126494201e-01
3.700000000000000000e+01,4.709593091985837532e+00,6.009574545731255490e-02
3.700000000000000000e+01,9.542662754213893095e-05,4.150362255552882962e-01
3.700000000000000000e+01,1.743763807778064390e+00,5.996677048970948665e-01
3.700000000000000000e+01,1.726266543540884602e+00,7.501658690174733968e-01
3.700000000000000000e+01,3.441808949476027335e-01,5.225255879329191444e-01
3.700000000000000000e+01,3.794188826657476366e+00,5.151893823927209404e-01
3.700000000000000000e+01,4.193344400808801886e+00,5.839739523997133919e-01
3.800000000000000000e+01,1.980957250478775356e+00,1.634979297399929976e-01
3.800000000000000000e+01,4.470823487346421210e+00,6.095995021738389585e-01
3.800000000000000000e+01,3.613941646824454068e+00,1.864075005933472085e-01
3.800000000000000000e+01,3.392291910067676497e+00,7.988882527747732665e-01
3.800000000000000000e+01,1.570647153551123942e+00,8.866660733809428319e-02
3.800000000000000000e+01,2.414363129494236482e+00,8.715949114450708413e-01
3.800000000000000000e+01,1.982863133066437022e+00,4.318475196028962459e-01
3.800000000000000000e+01,1.516702645419646389e+00,3.925762562746183404e-01
